Date,Category,Amount,Description,User
2017-01-27 00:00:00.000000,Transport,2321,Metro Ticket,Nikshith
2017-01-28 00:00:00.000000,Shopping,1185,Amazon Order,Nikshith
2017-01-17 00:00:00.000000,Shopping,2013,Shoes,Nikshith
2017-01-11 00:00:00.000000,Entertainment,210,Concert,Nikshith
2017-01-12 00:00:00.000000,Rent,8056,Hostel Rent,Nikshith
2017-01-19 00:00:00.000000,Travel,2553,Taxi,Nikshith
2017-01-16 00:00:00.000000,Rent,8608,Hostel Rent,Nikshith
2017-01-24 00:00:00.000000,Travel,2476,Flight,Nikshith
2017-01-07 00:00:00.000000,Food,2249,Dinner,Nikshith
2017-01-14 00:00:00.000000,Entertainment,316,Concert,Nikshith
2017-01-18 00:00:00.000000,Travel,1499,Trip,Nikshith
2017-01-13 00:00:00.000000,Food,315,Snacks,Nikshith
2017-01-19 00:00:00.000000,Food,1749,Lunch,Nikshith
2017-01-01 00:00:00.000000,Shopping,2447,Amazon Order,Nikshith
2017-01-28 00:00:00.000000,Food,1232,Groceries,Nikshith
2017-01-05 00:00:00.000000,Food,969,Dinner,Nikshith
2017-01-18 00:00:00.000000,Shopping,2075,Shoes,Nikshith
2017-01-22 00:00:00.000000,Entertainment,1512,Netflix,Nikshith
2017-01-02 00:00:00.000000,Rent,9908,Room Rent,Nikshith
2017-01-21 00:00:00.000000,Travel,880,Flight,Nikshith
2017-02-19 00:00:00.000000,Shopping,763,Shoes,Nikshith
2017-02-08 00:00:00.000000,Rent,5032,House Rent,Nikshith
2017-02-09 00:00:00.000000,Travel,3158,Flight,Nikshith
2017-02-13 00:00:00.000000,Rent,9684,House Rent,Nikshith
2017-02-18 00:00:00.000000,Food,2483,Lunch,Nikshith
2017-02-07 00:00:00.000000,Travel,3254,Flight,Nikshith
2017-02-23 00:00:00.000000,Rent,10762,House Rent,Nikshith
2017-02-05 00:00:00.000000,Food,1530,Breakfast,Nikshith
2017-02-06 00:00:00.000000,Food,315,Cafe,Nikshith
2017-02-08 00:00:00.000000,Food,2441,Lunch,Nikshith
2017-02-08 00:00:00.000000,Travel,1974,Trip,Nikshith
2017-02-20 00:00:00.000000,Shopping,157,Clothes,Nikshith
2017-02-21 00:00:00.000000,Travel,2169,Trip,Nikshith
2017-02-28 00:00:00.000000,Transport,294,Auto Ride,Nikshith
2017-02-27 00:00:00.000000,Entertainment,1405,Concert,Nikshith
2017-02-11 00:00:00.000000,Transport,1775,Auto Ride,Nikshith
2017-02-12 00:00:00.000000,Rent,7890,House Rent,Nikshith
2017-03-26 00:00:00.000000,Food,2013,Lunch,Nikshith
2017-03-23 00:00:00.000000,Food,113,Cafe,Nikshith
2017-03-07 00:00:00.000000,Rent,10861,Hostel Rent,Nikshith
2017-03-28 00:00:00.000000,Shopping,2387,Shoes,Nikshith
2017-03-26 00:00:00.000000,Entertainment,2500,Movie,Nikshith
2017-03-21 00:00:00.000000,Shopping,1401,Clothes,Nikshith
2017-03-21 00:00:00.000000,Transport,2234,Petrol,Nikshith
2017-03-10 00:00:00.000000,Entertainment,1570,Game,Nikshith
2017-03-09 00:00:00.000000,Entertainment,1001,Game,Nikshith
2017-03-25 00:00:00.000000,Travel,1325,Flight,Nikshith
2017-03-04 00:00:00.000000,Food,397,Dinner,Nikshith
2017-03-13 00:00:00.000000,Rent,8804,House Rent,Nikshith
2017-03-17 00:00:00.000000,Shopping,2381,Shoes,Nikshith
2017-03-10 00:00:00.000000,Rent,6343,Room Rent,Nikshith
2017-03-03 00:00:00.000000,Food,1395,Breakfast,Nikshith
2017-03-04 00:00:00.000000,Food,1969,Cafe,Nikshith
2017-03-18 00:00:00.000000,Rent,6376,Hostel Rent,Nikshith
2017-03-04 00:00:00.000000,Transport,1343,Petrol,Nikshith
2017-04-01 00:00:00.000000,Rent,8616,Hostel Rent,Nikshith
2017-04-27 00:00:00.000000,Travel,718,Trip,Nikshith
2017-04-06 00:00:00.000000,Travel,3495,Trip,Nikshith
2017-04-08 00:00:00.000000,Shopping,2386,Shoes,Nikshith
2017-04-01 00:00:00.000000,Shopping,782,Accessories,Nikshith
2017-04-11 00:00:00.000000,Rent,5974,Room Rent,Nikshith
2017-04-21 00:00:00.000000,Shopping,2496,Shoes,Nikshith
2017-04-18 00:00:00.000000,Food,1019,Groceries,Nikshith
2017-04-23 00:00:00.000000,Rent,5618,Hostel Rent,Nikshith
2017-04-09 00:00:00.000000,Food,1015,Snacks,Nikshith
2017-04-15 00:00:00.000000,Travel,2692,Trip,Nikshith
2017-04-27 00:00:00.000000,Shopping,390,Shoes,Nikshith
2017-04-05 00:00:00.000000,Entertainment,199,Netflix,Nikshith
2017-04-24 00:00:00.000000,Food,1465,Cafe,Nikshith
